id,date,time,co_gt,no2_gt,temperature,humidity,created_at
68,13/03/2004,13.00.00,2.8,124.0,19.4,31.3,2026-01-28 02:46:49
69,13/03/2004,14.00.00,2.0,102.0,18.0,34.8,2026-01-28 02:46:49
70,13/03/2004,15.00.00,2.0,116.0,18.4,33.6,2026-01-28 02:46:49
71,13/03/2004,16.00.00,2.5,124.0,17.6,35.1,2026-01-28 02:46:49
72,13/03/2004,17.00.00,2.3,125.0,16.7,37.8,2026-01-28 02:46:49
73,13/03/2004,18.00.00,3.2,148.0,16.1,41.0,2026-01-28 02:46:49
74,13/03/2004,19.00.00,4.2,165.0,15.8,42.4,2026-01-28 02:46:49
75,13/03/2004,20.00.00,4.2,161.0,15.7,44.1,2026-01-28 02:46:49
76,13/03/2004,21.00.00,4.2,159.0,15.3,46.8,2026-01-28 02:46:49
77,13/03/2004,22.00.00,3.1,143.0,14.6,48.6,2026-01-28 02:46:49
78,13/03/2004,23.00.00,2.6,130.0,14.7,49.3,2026-01-28 02:46:49
79,14/03/2004,00.00.00,2.9,129.0,13.9,53.6,2026-01-28 02:46:49
80,14/03/2004,01.00.00,2.8,119.0,14.6,51.5,2026-01-28 02:46:49
81,14/03/2004,02.00.00,2.5,104.0,12.5,58.9,2026-01-28 02:46:49
82,14/03/2004,03.00.00,2.4,93.0,11.6,63.4,2026-01-28 02:46:49
83,14/03/2004,04.00.00,1.8,82.0,12.1,61.1,2026-01-28 02:46:49
84,14/03/2004,05.00.00,1.2,70.0,11.5,63.1,2026-01-28 02:46:49
85,14/03/2004,06.00.00,1.0,63.0,11.6,62.2,2026-01-28 02:46:49
86,14/03/2004,07.00.00,0.9,67.0,10.4,67.6,2026-01-28 02:46:49
87,14/03/2004,08.00.00,1.4,84.0,11.6,62.7,2026-01-28 02:46:49
88,14/03/2004,09.00.00,1.6,83.0,12.4,60.0,2026-01-28 02:46:49
89,14/03/2004,10.00.00,2.2,98.0,14.5,53.1,2026-01-28 02:46:49
90,14/03/2004,11.00.00,2.8,114.0,16.9,46.1,2026-01-28 02:46:49
91,14/03/2004,12.00.00,2.8,119.0,19.3,38.3,2026-01-28 02:46:49
92,14/03/2004,13.00.00,2.0,104.0,21.2,31.4,2026-01-28 02:46:49
93,14/03/2004,14.00.00,1.8,102.0,21.4,30.2,2026-01-28 02:46:49
94,14/03/2004,15.00.00,1.9,107.0,21.9,29.0,2026-01-28 02:46:49
95,14/03/2004,16.00.00,3.0,129.0,22.2,28.4,2026-01-28 02:46:49
96,14/03/2004,17.00.00,2.9,128.0,21.3,30.8,2026-01-28 02:46:49
97,14/03/2004,18.00.00,2.5,121.0,19.7,36.7,2026-01-28 02:46:49
98,14/03/2004,19.00.00,4.6,157.0,18.4,41.7,2026-01-28 02:46:49
99,14/03/2004,20.00.00,5.9,173.0,17.6,46.1,2026-01-28 02:46:49
100,14/03/2004,21.00.00,3.4,146.0,16.7,49.6,2026-01-28 02:46:49
101,14/03/2004,22.00.00,2.1,121.0,16.3,51.0,2026-01-28 02:46:49
102,14/03/2004,23.00.00,2.2,119.0,14.7,55.9,2026-01-28 02:46:49
103,15/03/2004,00.00.00,1.8,99.0,14.8,54.7,2026-01-28 02:46:49
104,15/03/2004,01.00.00,1.8,93.0,14.0,57.0,2026-01-28 02:46:49
105,15/03/2004,02.00.00,1.8,88.0,13.4,61.3,2026-01-28 02:46:49
106,15/03/2004,03.00.00,1.1,79.5,12.6,63.5,2026-01-28 02:46:49
107,15/03/2004,04.00.00,1.05,71.0,12.3,65.4,2026-01-28 02:46:49
108,15/03/2004,05.00.00,1.0,74.0,11.9,67.4,2026-01-28 02:46:49
109,15/03/2004,06.00.00,1.4,80.0,11.4,70.5,2026-01-28 02:46:49
110,15/03/2004,07.00.00,2.2,89.0,11.3,70.2,2026-01-28 02:46:49
111,15/03/2004,08.00.00,5.5,114.0,12.4,63.9,2026-01-28 02:46:49
112,15/03/2004,09.00.00,8.1,149.0,14.8,54.3,2026-01-28 02:46:49
113,15/03/2004,10.00.00,5.8,157.0,17.4,45.6,2026-01-28 02:46:49
114,15/03/2004,11.00.00,4.2,155.0,19.8,38.5,2026-01-28 02:46:49
115,15/03/2004,12.00.00,3.1,134.0,22.0,34.1,2026-01-28 02:46:49
116,15/03/2004,13.00.00,2.9,119.0,23.3,32.2,2026-01-28 02:46:49
117,15/03/2004,14.00.00,2.9,111.0,23.9,30.0,2026-01-28 02:46:49
118,15/03/2004,15.00.00,2.5,104.0,24.4,28.9,2026-01-28 02:46:49
119,15/03/2004,16.00.00,2.3,99.0,24.4,29.4,2026-01-28 02:46:49
120,15/03/2004,17.00.00,2.8,110.0,23.8,31.3,2026-01-28 02:46:49
121,15/03/2004,18.00.00,6.1,162.0,22.5,35.4,2026-01-28 02:46:49
122,15/03/2004,19.00.00,8.0,187.0,20.4,42.5,2026-01-28 02:46:49
123,15/03/2004,20.00.00,6.5,165.0,18.3,52.6,2026-01-28 02:46:49
124,15/03/2004,21.00.00,4.2,145.0,16.7,57.4,2026-01-28 02:46:49
125,15/03/2004,22.00.00,3.2,125.0,15.7,60.2,2026-01-28 02:46:49
126,15/03/2004,23.00.00,1.4,101.0,15.3,61.4,2026-01-28 02:46:49
127,16/03/2004,00.00.00,2.1,103.0,14.1,65.7,2026-01-28 02:46:49
128,16/03/2004,01.00.00,1.2,88.0,14.8,60.6,2026-01-28 02:46:49
129,16/03/2004,02.00.00,0.8,61.0,14.8,59.2,2026-01-28 02:46:49
130,16/03/2004,03.00.00,0.7,60.0,13.6,62.1,2026-01-28 02:46:49
131,16/03/2004,04.00.00,0.65,59.0,12.3,66.2,2026-01-28 02:46:49
132,16/03/2004,05.00.00,0.6,52.0,12.8,63.2,2026-01-28 02:46:49
133,16/03/2004,06.00.00,0.9,64.0,11.2,68.5,2026-01-28 02:46:49
134,16/03/2004,07.00.00,1.3,70.0,11.0,66.5,2026-01-28 02:46:49
135,16/03/2004,08.00.00,3.4,97.0,11.7,63.7,2026-01-28 02:46:49
136,16/03/2004,09.00.00,3.7,95.0,13.6,56.3,2026-01-28 02:46:49
137,16/03/2004,10.00.00,5.3,150.0,17.8,42.9,2026-01-28 02:46:49
138,16/03/2004,11.00.00,4.1,162.0,21.4,33.3,2026-01-28 02:46:49
139,16/03/2004,12.00.00,3.3,154.0,24.4,27.4,2026-01-28 02:46:49
140,16/03/2004,13.00.00,4.0,161.0,25.3,26.1,2026-01-28 02:46:49
141,16/03/2004,14.00.00,3.8,161.0,25.8,23.2,2026-01-28 02:46:49
142,16/03/2004,15.00.00,2.8,128.0,27.0,20.2,2026-01-28 02:46:49
143,16/03/2004,16.00.00,2.9,129.0,28.2,18.6,2026-01-28 02:46:49
144,16/03/2004,17.00.00,2.9,133.0,28.0,19.1,2026-01-28 02:46:49
145,16/03/2004,18.00.00,3.4,139.0,23.9,25.7,2026-01-28 02:46:49
146,16/03/2004,19.00.00,3.9,137.0,21.3,34.8,2026-01-28 02:46:49
147,16/03/2004,20.00.00,3.2,143.0,20.4,36.7,2026-01-28 02:46:49
148,16/03/2004,21.00.00,5.1,177.0,19.0,41.3,2026-01-28 02:46:49
149,16/03/2004,22.00.00,2.6,138.0,17.9,45.9,2026-01-28 02:46:49
150,16/03/2004,23.00.00,1.7,117.0,16.7,48.9,2026-01-28 02:46:49
151,17/03/2004,00.00.00,1.7,107.0,15.5,52.9,2026-01-28 02:46:49
152,17/03/2004,01.00.00,1.2,90.0,15.5,51.9,2026-01-28 02:46:49
153,17/03/2004,02.00.00,0.9,79.0,14.1,55.6,2026-01-28 02:46:49
154,17/03/2004,03.00.00,0.7,69.5,13.1,57.9,2026-01-28 02:46:49
155,17/03/2004,04.00.00,0.6,60.0,12.7,57.9,2026-01-28 02:46:49
156,17/03/2004,05.00.00,0.5,40.0,11.8,58.0,2026-01-28 02:46:49
157,17/03/2004,06.00.00,0.5,53.0,11.9,57.4,2026-01-28 02:46:49
158,17/03/2004,07.00.00,1.6,84.0,9.9,65.2,2026-01-28 02:46:49
159,17/03/2004,08.00.00,4.1,108.0,11.1,60.2,2026-01-28 02:46:49
160,17/03/2004,09.00.00,6.6,127.0,14.1,50.0,2026-01-28 02:46:49
161,17/03/2004,10.00.00,4.3,134.0,17.7,40.1,2026-01-28 02:46:49
162,17/03/2004,11.00.00,2.9,135.0,21.1,33.4,2026-01-28 02:46:49
163,17/03/2004,12.00.00,2.5,142.0,24.3,28.3,2026-01-28 02:46:49
164,17/03/2004,13.00.00,2.8,153.0,25.6,25.6,2026-01-28 02:46:49
165,17/03/2004,14.00.00,2.6,123.0,25.9,25.9,2026-01-28 02:46:49
166,17/03/2004,15.00.00,2.0,104.0,26.8,18.7,2026-01-28 02:46:49
167,17/03/2004,16.00.00,2.9,129.0,29.3,15.8,2026-01-28 02:46:49
168,17/03/2004,17.00.00,2.5,114.0,28.5,14.9,2026-01-28 02:46:49
169,17/03/2004,18.00.00,5.0,158.0,25.9,16.0,2026-01-28 02:46:49
170,17/03/2004,19.00.00,7.6,194.0,23.1,26.5,2026-01-28 02:46:49
171,17/03/2004,20.00.00,6.7,182.0,20.5,38.2,2026-01-28 02:46:49
172,17/03/2004,21.00.00,5.7,180.0,19.1,42.6,2026-01-28 02:46:49
173,17/03/2004,22.00.00,2.8,136.0,17.2,44.1,2026-01-28 02:46:49
174,17/03/2004,23.00.00,2.6,127.0,16.0,50.9,2026-01-28 02:46:49
175,18/03/2004,00.00.00,2.3,116.0,14.8,53.9,2026-01-28 02:46:49
176,18/03/2004,01.00.00,1.4,107.0,14.3,55.4,2026-01-28 02:46:49
177,18/03/2004,02.00.00,1.0,88.0,14.8,52.1,2026-01-28 02:46:49
178,18/03/2004,03.00.00,0.7,83.0,13.9,53.9,2026-01-28 02:46:49
179,18/03/2004,04.00.00,0.65,78.0,11.6,61.9,2026-01-28 02:46:49
180,18/03/2004,05.00.00,0.6,57.0,12.0,58.9,2026-01-28 02:46:49
181,18/03/2004,06.00.00,0.7,71.0,10.9,62.1,2026-01-28 02:46:49
182,18/03/2004,07.00.00,1.5,85.0,10.6,63.3,2026-01-28 02:46:49
183,18/03/2004,08.00.00,4.7,124.0,11.5,60.0,2026-01-28 02:46:49
184,18/03/2004,09.00.00,6.6,151.0,14.3,50.6,2026-01-28 02:46:49
185,18/03/2004,10.00.00,4.5,150.0,17.8,40.5,2026-01-28 02:46:49
186,18/03/2004,11.00.00,2.8,152.0,20.8,34.4,2026-01-28 02:46:49
187,18/03/2004,12.00.00,2.2,139.0,23.8,28.2,2026-01-28 02:46:49
188,18/03/2004,13.00.00,2.2,133.0,24.2,28.7,2026-01-28 02:46:49
189,18/03/2004,14.00.00,2.3,126.0,25.2,24.9,2026-01-28 02:46:49
190,18/03/2004,15.00.00,2.2,128.0,27.0,17.8,2026-01-28 02:46:49
191,18/03/2004,16.00.00,2.8,169.0,27.1,23.1,2026-01-28 02:46:49
192,18/03/2004,17.00.00,2.7,149.0,25.8,23.9,2026-01-28 02:46:49
193,18/03/2004,18.00.00,3.7,156.0,23.0,26.8,2026-01-28 02:46:49
194,18/03/2004,19.00.00,5.1,168.0,20.7,31.1,2026-01-28 02:46:49
195,18/03/2004,20.00.00,5.1,176.0,18.6,36.2,2026-01-28 02:46:49
196,18/03/2004,21.00.00,3.2,135.0,16.0,48.4,2026-01-28 02:46:49
197,18/03/2004,22.00.00,2.1,121.0,14.5,57.8,2026-01-28 02:46:49
198,18/03/2004,23.00.00,1.7,99.0,13.1,64.2,2026-01-28 02:46:49
199,19/03/2004,00.00.00,2.0,106.0,12.0,69.7,2026-01-28 02:46:49
200,19/03/2004,01.00.00,1.6,96.0,11.9,71.1,2026-01-28 02:46:49
201,19/03/2004,02.00.00,0.9,63.0,12.5,69.3,2026-01-28 02:46:49
202,19/03/2004,03.00.00,0.7,47.5,12.5,67.5,2026-01-28 02:46:49
203,19/03/2004,04.00.00,0.6,32.0,12.3,67.7,2026-01-28 02:46:49
204,19/03/2004,05.00.00,0.5,28.0,12.5,66.8,2026-01-28 02:46:49
205,19/03/2004,06.00.00,0.7,61.0,12.3,66.3,2026-01-28 02:46:49
206,19/03/2004,07.00.00,1.5,99.0,12.4,64.9,2026-01-28 02:46:49
207,19/03/2004,08.00.00,4.8,157.0,13.0,61.6,2026-01-28 02:46:49
208,19/03/2004,09.00.00,6.2,166.0,13.6,58.8,2026-01-28 02:46:49
209,19/03/2004,10.00.00,4.0,149.0,13.9,57.1,2026-01-28 02:46:49
210,19/03/2004,11.00.00,3.3,135.0,14.5,54.4,2026-01-28 02:46:49
211,19/03/2004,12.00.00,2.8,127.0,15.5,50.1,2026-01-28 02:46:49
212,19/03/2004,13.00.00,3.0,122.0,16.1,47.6,2026-01-28 02:46:49
213,19/03/2004,14.00.00,3.3,135.0,16.3,47.1,2026-01-28 02:46:49
214,19/03/2004,15.00.00,3.5,139.0,16.4,47.5,2026-01-28 02:46:49
215,19/03/2004,16.00.00,4.0,147.0,16.1,50.2,2026-01-28 02:46:49
216,19/03/2004,17.00.00,4.6,158.0,16.0,50.7,2026-01-28 02:46:49
217,19/03/2004,18.00.00,4.1,146.0,15.8,50.3,2026-01-28 02:46:49
218,19/03/2004,19.00.00,4.5,144.0,15.5,50.6,2026-01-28 02:46:49
219,19/03/2004,20.00.00,3.9,138.0,15.4,51.4,2026-01-28 02:46:49
220,19/03/2004,21.00.00,4.0,143.0,15.2,53.1,2026-01-28 02:46:49
221,19/03/2004,22.00.00,2.2,116.0,14.7,57.6,2026-01-28 02:46:49
222,19/03/2004,23.00.00,2.1,109.0,14.2,58.3,2026-01-28 02:46:49
223,20/03/2004,00.00.00,1.7,92.0,13.8,57.9,2026-01-28 02:46:49
224,20/03/2004,01.00.00,1.6,83.0,13.9,55.9,2026-01-28 02:46:49
225,20/03/2004,02.00.00,1.3,81.0,13.9,55.6,2026-01-28 02:46:49
226,20/03/2004,03.00.00,1.3,68.0,13.8,55.1,2026-01-28 02:46:49
227,20/03/2004,04.00.00,1.05,55.0,13.8,54.6,2026-01-28 02:46:49
228,20/03/2004,05.00.00,0.8,53.0,13.6,55.1,2026-01-28 02:46:49
229,20/03/2004,06.00.00,0.8,67.0,13.6,59.0,2026-01-28 02:46:49
230,20/03/2004,07.00.00,1.1,91.0,13.5,58.4,2026-01-28 02:46:49
231,20/03/2004,08.00.00,2.1,113.0,13.8,58.0,2026-01-28 02:46:49
232,20/03/2004,09.00.00,2.4,102.0,14.6,53.1,2026-01-28 02:46:49
233,20/03/2004,10.00.00,2.6,107.0,15.0,52.3,2026-01-28 02:46:49
234,20/03/2004,11.00.00,2.8,113.0,15.4,52.1,2026-01-28 02:46:49
235,20/03/2004,12.00.00,2.6,108.0,16.3,50.0,2026-01-28 02:46:49
236,20/03/2004,13.00.00,2.6,105.0,17.1,47.9,2026-01-28 02:46:49
237,20/03/2004,14.00.00,2.1,93.0,19.0,42.9,2026-01-28 02:46:49
238,20/03/2004,15.00.00,1.7,87.0,19.5,42.3,2026-01-28 02:46:49
239,20/03/2004,16.00.00,1.6,76.0,19.5,42.3,2026-01-28 02:46:49
240,20/03/2004,17.00.00,2.1,94.0,19.1,43.8,2026-01-28 02:46:49
241,20/03/2004,18.00.00,2.3,110.0,18.5,46.3,2026-01-28 02:46:49
242,20/03/2004,19.00.00,3.5,136.0,17.4,51.6,2026-01-28 02:46:49
243,20/03/2004,20.00.00,3.9,139.0,17.1,51.3,2026-01-28 02:46:49
244,20/03/2004,21.00.00,3.3,125.0,16.4,53.8,2026-01-28 02:46:49
245,20/03/2004,22.00.00,2.3,111.0,16.2,55.4,2026-01-28 02:46:49
246,20/03/2004,23.00.00,2.1,97.0,15.9,57.7,2026-01-28 02:46:49
247,21/03/2004,00.00.00,2.8,107.0,15.7,58.6,2026-01-28 02:46:49
248,21/03/2004,01.00.00,2.1,90.0,15.1,60.9,2026-01-28 02:46:49
249,21/03/2004,02.00.00,1.6,84.0,15.6,56.6,2026-01-28 02:46:49
250,21/03/2004,03.00.00,1.6,85.5,15.2,57.9,2026-01-28 02:46:49
251,21/03/2004,04.00.00,1.35,87.0,15.4,57.8,2026-01-28 02:46:49
252,21/03/2004,05.00.00,1.1,66.0,14.9,60.6,2026-01-28 02:46:49
253,21/03/2004,06.00.00,0.7,36.0,14.5,63.0,2026-01-28 02:46:49
254,21/03/2004,07.00.00,0.8,62.0,14.2,66.2,2026-01-28 02:46:49
255,21/03/2004,08.00.00,1.2,91.0,14.5,65.3,2026-01-28 02:46:49
256,21/03/2004,09.00.00,1.4,89.0,15.3,62.1,2026-01-28 02:46:49
257,21/03/2004,10.00.00,1.7,93.0,16.3,59.0,2026-01-28 02:46:49
258,21/03/2004,11.00.00,1.8,81.0,18.9,49.6,2026-01-28 02:46:49
259,21/03/2004,12.00.00,1.8,82.0,19.4,46.1,2026-01-28 02:46:49
260,21/03/2004,13.00.00,1.9,80.0,20.8,41.6,2026-01-28 02:46:49
261,21/03/2004,14.00.00,1.3,48.0,21.4,40.3,2026-01-28 02:46:49
262,21/03/2004,15.00.00,1.6,61.0,21.2,39.3,2026-01-28 02:46:49
263,21/03/2004,16.00.00,1.9,89.0,20.3,38.0,2026-01-28 02:46:49
264,21/03/2004,17.00.00,2.3,105.0,19.4,41.3,2026-01-28 02:46:49
265,21/03/2004,18.00.00,3.8,116.0,18.5,43.8,2026-01-28 02:46:49
266,21/03/2004,19.00.00,3.5,119.0,17.8,48.1,2026-01-28 02:46:49
267,21/03/2004,20.00.00,4.3,144.0,17.9,46.9,2026-01-28 02:46:49
268,21/03/2004,21.00.00,2.8,123.0,17.4,49.1,2026-01-28 02:46:49
269,21/03/2004,22.00.00,1.9,105.0,17.0,51.7,2026-01-28 02:46:49
270,21/03/2004,23.00.00,1.9,93.0,16.4,55.1,2026-01-28 02:46:49
271,22/03/2004,00.00.00,1.7,86.0,16.1,60.0,2026-01-28 02:46:49
272,22/03/2004,01.00.00,1.5,76.0,15.8,60.5,2026-01-28 02:46:49
273,22/03/2004,02.00.00,0.6,33.0,16.3,57.0,2026-01-28 02:46:49
274,22/03/2004,03.00.00,0.4,30.0,16.9,53.9,2026-01-28 02:46:49
275,22/03/2004,04.00.00,0.35,27.0,16.1,55.9,2026-01-28 02:46:49
276,22/03/2004,05.00.00,0.3,23.0,16.5,53.9,2026-01-28 02:46:49
277,22/03/2004,06.00.00,0.6,46.0,16.4,54.0,2026-01-28 02:46:49
278,22/03/2004,07.00.00,1.2,76.0,15.7,57.6,2026-01-28 02:46:49
279,22/03/2004,08.00.00,3.6,116.0,15.8,53.7,2026-01-28 02:46:49
280,22/03/2004,09.00.00,3.7,115.0,17.4,42.1,2026-01-28 02:46:49
281,22/03/2004,10.00.00,1.8,83.0,17.9,38.4,2026-01-28 02:46:49
282,22/03/2004,11.00.00,1.6,87.0,18.5,36.7,2026-01-28 02:46:49
283,22/03/2004,12.00.00,1.9,90.0,21.0,29.6,2026-01-28 02:46:49
284,22/03/2004,13.00.00,2.0,87.0,21.3,28.1,2026-01-28 02:46:49
285,22/03/2004,14.00.00,2.2,99.0,21.3,26.1,2026-01-28 02:46:49
286,22/03/2004,15.00.00,2.1,99.0,21.3,26.8,2026-01-28 02:46:49
287,22/03/2004,16.00.00,2.3,101.0,21.3,24.2,2026-01-28 02:46:49
288,22/03/2004,17.00.00,2.6,103.0,20.2,28.5,2026-01-28 02:46:49
289,22/03/2004,18.00.00,3.8,129.0,17.0,43.1,2026-01-28 02:46:49
290,22/03/2004,19.00.00,4.4,143.0,15.6,47.4,2026-01-28 02:46:49
291,22/03/2004,20.00.00,4.5,146.0,15.3,47.4,2026-01-28 02:46:49
292,22/03/2004,21.00.00,3.3,124.0,14.5,49.7,2026-01-28 02:46:49
293,22/03/2004,22.00.00,2.0,113.0,13.9,52.0,2026-01-28 02:46:49
294,22/03/2004,23.00.00,1.1,80.0,14.5,49.4,2026-01-28 02:46:49
295,23/03/2004,00.00.00,0.9,72.0,13.8,51.4,2026-01-28 02:46:49
296,23/03/2004,01.00.00,0.8,64.0,14.0,51.3,2026-01-28 02:46:49
297,23/03/2004,02.00.00,0.7,70.0,13.0,56.8,2026-01-28 02:46:49
298,23/03/2004,03.00.00,0.5,50.5,11.0,70.0,2026-01-28 02:46:49
299,23/03/2004,04.00.00,0.4,31.0,10.1,76.8,2026-01-28 02:46:49
300,23/03/2004,05.00.00,0.3,22.0,8.8,80.5,2026-01-28 02:46:49
301,23/03/2004,06.00.00,0.5,47.0,9.6,75.4,2026-01-28 02:46:49
302,23/03/2004,07.00.00,1.1,88.0,9.8,75.0,2026-01-28 02:46:49
303,23/03/2004,08.00.00,3.0,130.0,10.0,74.2,2026-01-28 02:46:49
304,23/03/2004,09.00.00,3.8,132.0,11.2,69.7,2026-01-28 02:46:49
305,23/03/2004,10.00.00,3.4,132.0,12.0,62.9,2026-01-28 02:46:49
306,23/03/2004,11.00.00,3.0,131.0,12.8,55.8,2026-01-28 02:46:49
307,23/03/2004,12.00.00,2.7,129.0,13.1,54.8,2026-01-28 02:46:49
308,23/03/2004,13.00.00,3.5,132.0,13.8,53.4,2026-01-28 02:46:49
309,23/03/2004,14.00.00,2.8,110.0,16.0,42.4,2026-01-28 02:46:49
310,23/03/2004,15.00.00,1.9,99.0,14.1,49.8,2026-01-28 02:46:49
311,23/03/2004,16.00.00,2.0,100.0,12.0,61.1,2026-01-28 02:46:49
312,23/03/2004,17.00.00,3.0,122.0,13.6,54.6,2026-01-28 02:46:49
313,23/03/2004,18.00.00,1.9,97.0,13.7,49.5,2026-01-28 02:46:49
314,23/03/2004,19.00.00,2.7,112.0,11.7,57.1,2026-01-28 02:46:49
315,23/03/2004,20.00.00,3.3,128.0,11.5,58.2,2026-01-28 02:46:49
316,23/03/2004,21.00.00,1.7,101.0,12.6,54.2,2026-01-28 02:46:49
317,23/03/2004,22.00.00,1.3,96.0,12.0,54.9,2026-01-28 02:46:49
